Num,target,statement,classification,rationale
181,Neutral,"However, suspended JD(S) MLA H C Balakrishna decided to remain in his seat.",Neutral,This statement factually reports an action taken by a specific MLA without any bias.
182,Pro,"After the CLP meeting, Home Minister G Parameshwara told reporters that the legislators wanted the government to allot more houses for the poor.",Pro,"The statement indicates legislators' desire for the government to allocate more houses for the poor, suggesting a focus on social welfare initiatives and a supportive stance towards such policies."
183,Anti,Even the National Bank for Agriculture and Rural Development did not show any inclination to give credit in view of its guidelines.,Anti,"The statement points to the failure of a key national institution (NABARD) to provide necessary support, which is a criticism of the system's effectiveness."
184,Anti,"If theres no loan waiver after that, we should put up a fight to ensure Kumaraswamy is stripped of power, he said.",Anti,"This statement is a direct threat to a political leader (Kumaraswamy), conditional on his failure to keep a promise."
185,Pro,"On May 30, Kumaraswamy said he needed 15 days to come out with a plan to implement a loan waiver.",Neutral,This is a factual report of a statement made by a politician regarding his timeline for policy implementation.
186,Neutral,"We wont keep quiet if Kumaraswamy simply does the same, he warned.",Anti,The statement contains a direct 'warning' to a political leader (Kumaraswamy) not to repeat a perceived past failure.
187,Neutral,0,Neutral,"The input is '0', which is not a political statement and has no stance."
188,Pro,He said the BJP believes in vesting all powers in one man while the Congress wanted power to trickle down to people.,Anti,"The statement negatively characterizes the BJP's ideology ('vesting all powers in one man') while positively portraying the Congress's, making it an anti-BJP statement."
189,Neutral,"Modi did not forget to target Congress, calling it the ABCD of corruption while Badal said the coming elections were a jang-e-azadi (struggle for independence) to get the masses freed from the clutches of corruption of Congress leaders.",Anti,"This statement reports on multiple, harsh political attacks ('ABCD of corruption', 'clutches of corruption') directed against the Congress party."
190,Neutral,"Didi pleaded with him but he clearly said if he accepts our request he would have to do so for other states too, said an MP present in the meeting.",Neutral,"This statement reports on a political negotiation and its outcome, detailing the reasoning for a refusal without taking a clear side."
191,Anti,"The BJP prime ministerial candidate Narendra Modi on Thursday trained his guns on NCP president Sharad Pawar, questioning his decision to enforce a ban on export of cotton at a time when prices were rising in international markets.",Anti,The statement describes a political attack ('trained his guns on') by one leader (Modi) against another's (Pawar's) policy decisions.
192,Anti,"Modi said, The number of farmers suicides in Vidarbha alone surpasses the total number of soldiers killed in the battlefield.",Anti,This reports a statement by Modi using a dramatic comparison about farmer suicides to criticize the government in power at the time.
193,Neutral,"Interestingly, Modis attack on Pawar comes at a time when the NCP president has been soft on Gujarat chief minister.",Neutral,"The statement provides political analysis and context by noting an interesting dynamic between two politicians, without taking a side."
194,Anti,"In Gujarat alone, it cost the farmers financial loss up to Rs 7,000 crore.",Anti,"The statement highlights a massive financial loss for farmers in a specific state, implying a failure of the state government's policies."
195,Anti,"He added, Pawar, who hails from Maharashtra which has recorded the highest number of farmers suicides, cannot absolve himself of the responsibilities as he also happens to be the Union Agriculture Minister.",Anti,"The statement directly blames a specific minister (Pawar) for the crisis of farmer suicides, stating he 'cannot absolve himself'."
196,Anti,But India has major potential but its hard-working farmers are driven to commit suicides.,Anti,The statement criticizes the system/government by highlighting the tragic paradox of farmer suicides in a country with 'major potential'.
197,Pro,"Latur district in Marathwada, which is amongst the worst-hit this drought, has ensured that the government sends across at least 70 lakh litres of water through trains.",Pro,"The statement reports a significant positive action by the government, which is sending large quantities of water by train to a drought-hit area."
198,Pro,"Those opposing the Bill want three conditions incorporated in it no forcible acquisition of land from farmers, mandatory social impact assessment and clarity on industrial corridor.",Neutral,Reports the demands of an opposition group factually without taking a stance.
199,Neutral,Why this drama now?,Anti,The use of the word 'drama' expresses skepticism and criticism towards a political action.
200,Pro,"He said the loan waiver for distressed farmers should be on the scale of the UPAs bailout package of 2008, at todays prices.",Neutral,"Reports a specific policy demand made by a political figure, referencing a past policy as a benchmark."
201,Anti,Farmer suicides that were on the decline during the UPA regime have now risen sharply.,Anti,Critiques the current government by unfavorably comparing its record on farmer suicides with the previous UPA regime.
202,Anti,The MLA from Karad also launched a stinging attack on the Union government for its failure to arrest the slide in prices of farm commodities.,Anti,Describes a 'stinging attack' and explicitly mentions the 'failure' of the Union government.
203,Pro,These interest-free loans were extended by banks to sugar mills as additional working capital specifically for clearance of cane price arrears of previous seasons and timely settlement of cane price to farmers for that years sugar season.,Neutral,"Provides a factual, descriptive account of a loan policy without any supportive or critical tone."
204,Neutral,"Maharashtra Pradesh Congress Committee (MPCC) President Ashok Chavan, Rajya Sabha MP Raj Babbar, former MPCC chief Manikkrao Thakre, Youth Congress President Amrinder Singh Raja Brar and ex-Maharashtra Minister Shivajirao Moghe, among others, were present on the occasion.",Neutral,Factually lists the names of political figures present at an event.
205,Pro,"Speaking on the occasion, Ashok Chavan said the Congress will fight for the farmers and push ahead with its demand to waive their crop loan.",Pro,A political leader states his party's commitment to fight for a cause and push for a specific policy benefiting a group.
206,Neutral,"Maharashtra Congress chief Ashok Chavan (Express file photo) Maharashtra Congress chief Ashok Chavan (Express file photo)Even though protest rallies by the Maratha community across Maharashtra have so far been apolitical, the Congress Tuesday targeted the BJP government over the row.",Neutral,Factually reports that one political party (Congress) is targeting another (BJP) over an issue.
207,Pro,"Barring a few districts, rains have been good across the state.",Neutral,A factual statement about weather conditions with no political content.
208,Anti,Prime Minister Narendra Modi has deceived the farmers by making false promises.,Anti,"Directly accuses the Prime Minister of deceit and making false promises, which is highly critical."
209,Pro,"A day after the State government agreed to meet demands of farmers, thousands of whom marched to the city from Nashik, Chief Minister Devendra Fadnavis on Tuesday listed decisions agreed upon in the meeting between the Kisan Morcha organisers and the State.",Neutral,"Reports on government actions and agreements with protestors in a factual, non-evaluative manner."
210,Pro,The committee that will be set up to monitor its implementation will have farmer representatives and Ministers.,Neutral,Describes the composition of a future committee factually.
211,Anti,"Chief Minister Devendra Fadnavis, however, did announce a relief package of Rs 10,512 crore for drought-hit farmers, a move the opposition termed a cruel joke the State had played on farmers.",Anti,Reports a chief minister's action but immediately presents a strong negative characterization of it by the opposition.
212,Pro,"Mr Fadnavis said while he was not opposed to the idea of a complete loan waiver, it was a decision that had to be taken at an appropriate time.",Pro,"A chief minister states his conditional openness to a policy, framing it within his strategic approach."
213,Pro,"We are committed to giving more, he assured the House.",Pro,"A direct quote from a government representative expressing a strong commitment and assurance, presenting the government in a positive light."
214,Pro,"The HCL approved assistance from the National Disaster Relief Fund (NDRF) for Madhya Pradesh to the tune of Rs 2,033 crore and Rs 3,050 crore relief for Maharashtra.",Neutral,A factual statement detailing the allocation of disaster relief funds.
215,Neutral,The decision to focus on the Vyapam scandal was taken at a meeting of Sonia and Rahul with party MPs.,Neutral,Reports factually on an internal political strategy meeting of a party.
216,Anti,"His party, however, ran into a controversy amid reports it was offering free liquor to drum up support for a Delhi rally.",Anti,"Reports on a negative controversy involving a political party, damaging its reputation."
217,Anti,"4.47pm: During elections, Modi ji comes with hollow promises and spreads hatred.",Anti,"Directly accuses PM Modi of making 'hollow promises' and 'spreading hatred,' which is strongly critical."
218,Anti,4.46pm: Sonia questions PM Modi on his promise of ending corruption and asks what happened to Lokpal.,Anti,"Reports an opposition leader challenging the Prime Minister on unfulfilled promises, implying government failure."
219,Neutral,"I agree, he speaks well, like an actor.",Neutral,"This is a personal observation about someone's speaking ability, comparing them to an actor, which is subjective and not inherently political in its stance."
220,Pro,"We need dal chawal, we need hospitals, she says.",Anti,"Highlights basic needs, implying that the current government is failing to provide them."
221,Neutral,Gandhi is back on the campaign trail for the party after a two-year absence.,Neutral,"A simple, factual statement about a politician's activity."
222,Neutral,4.24pm: Rahul Gandhi says the Congress government in Karnataka has delivered what it promised.,Pro,A direct quote from a party leader praising his own party's government for fulfilling its promises.
223,Anti,4.17pm: The Congress president says that Modis government has not contributed a single rupee towards the farm loan waiver in Karnataka.,Anti,"Accuses the central government of failing to provide financial support, which is a direct criticism."
224,Anti,"4.14pm: Gandhi says, On one hand they (BJP) garland Ambedkars statue and on the other hand they visit Dalit homes and eat restaurant food.",Anti,"Accuses the BJP of hypocrisy and insincere tokenism, which is a form of political attack."
225,Anti,"Money goes from your pocket to Nirav Modis and out of the country, he says.",Anti,"Directly links the government to a major corruption scandal, accusing it of facilitating the loss of public money."
226,Neutral,"Our government in Karnataka has done what Modi government couldnt, says the Congress president.",Pro,Praises one government's performance while explicitly criticizing another's inability.
227,Neutral,2.46pm: Basavanna preached equality.,Neutral,A statement of historical or philosophical fact without direct political evaluation.
228,Pro,"They have worked to remove human suffering, he says.",Pro,"High praise for the actions of a political entity, describing their work in very positive terms."
229,Anti,"The party that talks about honesty, decency has a person whos been accused of murder as president, ANI reports Rahul Gandhi saying in Bengaluru.",Anti,A direct and severe attack on a rival party's leadership and moral standing.
230,Neutral,"11.30am: Rahul Gandhi says yes, why not on being asked if he can be the prime minister in 2019 if the Congress emerges as the single largest party, ANI reports.",Neutral,Reports a politician's response regarding his prime ministerial ambitions factually.
231,Anti,"State Finance Minister Sudhir Mungantiwar on Wednesday said the revenue deficit of over Rs. 15,000 crore in the 2018-19 Maharashtra Budget is a result of the farm loan waiver scheme and other expenditure in the agriculture sector.",Anti,"This statement attributes the state's revenue deficit to specific government schemes ('farm loan waiver scheme and other expenditure in the agriculture sector'), implying poor financial management."
232,Anti,"NCP MLA Jayant Patil said revenue deficit is likely to cross Rs. 35,000 crore due to lack of financial planning by the government.",Anti,An opposition politician directly blames the government's 'lack of financial planning' for a negative economic outcome.
233,Neutral,Do you know how Modi ji addresses him?,Neutral,"A rhetorical question that, in isolation, does not carry a pro or anti stance."
234,Neutral,I don't make false promises.,Pro,"A politician is positively promoting their own integrity, a pro-self/pro-party statement."
235,Neutral,"Number one was jobs, number two - corruption, (and) number three - farmers.",Neutral,A simple list of political issues or priorities without any attached judgment.
236,Anti,"And then in 2019, India is clearly going to state to Mr Narendra Modi - Mr Modi, you promised us three things and all you have given us is a lot of talk.",Anti,Predicts a negative verdict against the Prime Minister for failing to deliver on promises and offering only 'talk'.
237,Pro,"We wonder if Modi sees him (Singh) as a poster boy for his proclamation 'sabka saath, sabka vikas', he said.",Anti,Uses sarcasm and the government's own slogan to criticize and question its integrity.
238,Anti,"At his Pipliyamandi rally, the Congress president also accused Modi of selling out to China.",Anti,"Describes a serious accusation made against the Prime Minister, which is a form of political attack."
239,Anti,Party sources said the damage was done as the Opposition will try to rake up his remarks when Parliament and the state assembly sit for their budget sessions.,Neutral,A factual report on the political implications and strategic considerations following a controversial remark.
240,Neutral,"If someone faces problem, I also feel the pain.",Pro,"A statement of empathy from a leader, designed to create a positive and caring image."
241,Neutral,"Modi, however, turned around the statement to his advantage.",Neutral,"Describes a political tactic or skillful maneuver in a neutral, observational tone."
242,Neutral,"While the BJP brushed aside allegations of quid pro quo, Trinamool leaders said it was the best time for the CM to reach out to Modi as BJP stands decimated in the state.",Neutral,Reports the contrasting viewpoints of two different political parties on the same event.
243,Pro,Prime Minister Narendra Modi on Thursday said his government was open to suggestions from political parties on ways to stop the spate of farmer suicides in the country.,Pro,"Presents the Prime Minister and the government as open, collaborative, and concerned about a major issue."
244,Neutral,Dr Bernard Moras.,Neutral,The statement is just a name and lacks any political context or stance.
245,Pro,"Bring Yeddyurappa to power, says Modi 7.58pm: PM iterates that he is fighting corruption and will not spare those who have looted the poor.",Pro,Contains a direct electoral appeal and a positive self-characterization of the Prime Minister's actions.
246,Neutral,7.47pm: The previous governments did not care.,Anti,"Directly criticizes previous governments for their alleged lack of care, positioning the current government favorably."
247,Pro,"We are doing everything possible to improve connectivity, says PM.",Pro,A statement from the Prime Minister highlighting the government's maximum effort and commitment to a policy goal.
248,Neutral,"7.41pm: Congress lacks a forward looking vision for the development of Karnataka, says Modi.",Anti,"A direct criticism of an opposition party, accusing it of lacking vision."
249,Anti,"7.31pm: When an economist PM remote-controlled by Sonia Gandhi ran the country, India was counted among the fragile five.",Anti,"A harsh critique of a previous government, using loaded terms like 'remote-controlled' and linking it to economic fragility."
250,Pro,"But in the last three-four years, India has strengthened its economy and contributed to stabilising world economy too, Modi says.",Pro,"A strong, positive claim about the government's economic achievements on both national and global scales."
251,Pro,7.27pm: Modi says Bengaluru Metropolitan Area will be expanded to more places and that resources will be allocated for the re-development of the citys lakes.,Pro,A statement outlining positive future development plans and resource allocation promises.
252,Neutral,"BJP is grounded and tied to the lives of the common man, PM says.",Pro,"A positive self-characterization of a political party, claiming it is connected to the common person."
253,Neutral,"But the Congress is waxing eloquent about its performance in the past 5 years, he says.",Anti,The phrase 'waxing eloquent' is used to cast doubt and mock an opposition party's claims of its performance.
254,Anti,"His son goes around beating people, PM says.",Anti,A personal attack on a political opponent's family member to damage their reputation.
255,Neutral,People who should be in jail are sitting in Karnataka government.,Anti,A severe accusation that members of a government are criminals who should be imprisoned.
256,Pro,"Farmers in Karnataka have hugely benefited from the scheme, says PM.",Pro,A direct claim from the Prime Minister about the significant positive impact of a government scheme.
257,Pro,We are committed to welfare of farmers.,Pro,"A declaration of commitment to farmer welfare, presenting the government in a positive light."
258,Neutral,"Sadly, those who are born with a golden spoon, never understand the difficulties of poor.",Anti,"A veiled but clear attack on political opponents from privileged backgrounds, suggesting they are out of touch."
259,Pro,We are promoting tourism in Karnataka.,Pro,A straightforward statement about a positive government initiative.
260,Pro,"We are connecting distant places through airways, says PM Modi.",Pro,Highlights a positive government achievement in improving infrastructure and connectivity.
261,Anti,"It is the NDA government that has got a death penalty for child rapists, says the PM.",Pro,The government is taking credit for passing a significant and socially resonant piece of legislation.
262,Pro,"It is our government that worked on electrification of villages that had no power for 70 long years, claims the prime minister.",Pro,Claims a major developmental success for the current government while implicitly criticizing all past governments.
263,Neutral,"Sadly, the Congress government has not followed his principles.",Anti,Directly criticizes an opposition party for failing to live up to certain ideals.
264,Neutral,"1.15pm: Congress leaders are thinking about what excuses they will make after the defeat in the state -- faulty EVMs or other such reasons, says the PM.",Anti,"Mocks and dismisses an opposition party, confidently predicting their defeat and ridiculing their future actions."
0,Neutral,Attorney General Mukul Rohatgi told the apex court bench headed by Chief Justice of India TS Thakur that he had placed the affidavit on record in connection with the demonetisation issue.,Neutral,A factual report of a procedural action taken by the Attorney General in court.
1,Anti,"Replying to Thakur, Rohatgi said that some bank managers are allegedly involved in illegal activities and the government is acting against the culprits.",Pro,Presents the government as being aware of issues and actively taking corrective measures against wrongdoers.
2,Pro,Rohatgi said that the Centre had filed a reply in the Supreme Court in compliance with the top courts earlier order on the issue.,Neutral,Factually reports that the government has complied with a legal directive.
3,Neutral,"Replying that the government cannot sit in every bank, Attorney General Mukul Rohatgi said people should bear 70 days of discomfort as a revolution was taking place in the country after 70 years.",Neutral,"This statement neutrally reports the Attorney General's statement about people needing to bear discomfort for a revolution, explaining the government's inability to be present everywhere."
4,Anti,"Replying that the government cannot sit in every bank, Attorney General Mukul Rohatgi said people should bear 70 days of discomfort as a revolution was taking place in the country after 70 years.",Pro,"Defends a controversial government policy, justifies public hardship, and frames the policy in grand, positive terms like a 'revolution'."
5,Anti,"Replying that the government cannot sit in every bank, Attorney General Mukul Rohatgi said people should bear 70 days of discomfort as a revolution was taking place in the country after 70 years.",Pro,"Defends a controversial government policy, justifies public hardship, and frames the policy in grand, positive terms like a 'revolution'."
6,Anti,"Rohatgi said a total of Rs  7.5 lakh crore, including Rs 5 lakh crore in new currency notes, was available for transaction, and the cash problem should be resolved soon.",Pro,Provides positive data and assurance on behalf of the government to counter criticism and suggest the situation is improving.
7,Pro,"Citing an example, Rohatgi said petrol pumps deposited mostly Rs 500 and Rs 1,000 notes in banks when the exemptions were allowed.",Neutral,A factual statement used as evidence or an example within a larger argument.
8,Anti,"Rohatgi said that as directed by the apex court on the last hearing of the case, the Centre has filed the transfer petition.",Neutral,Factually reports a procedural legal action taken by the government.
9,Pro,Attorney General Mukul Rohatgi said that old currency notes worth Rs 8000 crore collected by DCCBs across the country have been allowed to be deposited in the Reserve Bank of India (RBI).,Pro,Reports a government decision that resolves an issue and provides relief to affected parties.
10,Pro,Attorney General Mukul Rohatgi said that old currency notes worth Rs 8000 crore collected by DCCBs across the country have been allowed to be deposited in the Reserve Bank of India (RBI).,Pro,Reports a government decision that resolves an issue and provides relief to affected parties.
11,Anti,"Countering the submissions, Attorney General Mukul Rohatgi said that old currency notes worth Rs 8000 crore collected by DCCBs across the country have been allowed to be deposited in the Reserve Bank of India (RBI).",Pro,Reports a positive government decision made in the context of defending its overall policy in court.
12,Pro,"We have allowed them to deposit this amount to the RBI subject to KYC norms and we will issue a notification in this regard within two days, Rohatgi said.",Pro,A government representative announces a positive action and a commitment to prompt implementation.
13,Pro,"In response, Attorney General Mukul Rohatgi said that there is no shortage of funds as Rs 100 notes are in circulation and the ATMs needed to be re-calibrated to issue new currency notes of Rs 500 and Rs 2,000.",Pro,Defends the government's position by denying a problem ('no shortage') and providing a technical explanation.
14,Pro,Attorney General Mukul Rohatgi said that the Centre had filed a reply in the Supreme Court in compliance with the top courts earlier order on the issue.,Neutral,Factually reports that the government has complied with a legal directive.
15,Pro,Rohatgi told the court that black money destabilises economy and the country.,Pro,States a widely accepted principle to provide justification and a strong rationale for a government policy.
16,Neutral,"Attorney General Mukul Rohatgi, appearing for the Centre, had said that the government was aware of the situation in cooperative banks which lack proper infrastructure and mechanism as compared to scheduled banks.",Neutral,A government representative factually explains the government's understanding of a problem without explicitly defending or promoting a specific action.
17,Neutral,"When the court said it would hear the case only after verifying how this matter was listed before it, Attorney General Mukul Rohatgi, representing the banks, said my submission is that this matter should not go to another bench.",Neutral,Reports on a procedural legal argument made by the Attorney General in court.
18,Neutral,Finance Secretary Ashok Lavasa had said the withdrawal cap would be will be reviewed after December 30.,Neutral,A factual statement from a government official about a planned future policy review.
19,Anti,Finance Secretary Ashok Lavasa said the step is another move to attack the biggest menace facing the country.,Pro,A government official positively frames a government policy as a decisive action against a major national problem.
20,Pro,Lavasa said people need money for transaction so for replacement that currency is being introduced.,Pro,"A government official explains the rationale behind a policy decision, presenting it in a positive or necessary light."
21,Neutral,Finance Secretary Ashok Lavasa had said the withdrawal cap would be reviewed after December 30.,Neutral,A factual statement from a government official about a planned future policy review.
22,Neutral,Finance Secretary Ashok Lavasa had said the withdrawal cap would be reviewed after December 30.,Neutral,A factual statement from a government official about a planned future policy review.
23,Neutral,Finance Secretary Ashok Lavasa had said the withdrawal cap would be will be reviewed after December 30.,Neutral,A factual statement from a government official about a planned future policy review.
24,Neutral,"As soon as the House met, Speaker Sumitra Mahajan said that the Constitution Day would be observed tomorrow and referred to the 8th anniversary of Mumbai terror attacks.",Neutral,A report of a procedural announcement and a commemorative statement made by the Speaker of the House.
25,Anti,Mahajan said she had given one chance to the Opposition and was ready to allow them to proceed with the debate.,Neutral,Reports the Speaker's statement on managing parliamentary proceedings.
26,Pro,"Speaker Sumitra Mahajan said since the bill is of urgent public importance, it has to be passed immediately.",Pro,"The Speaker asserts the urgency and importance of passing a bill, aligning with the government's legislative agenda."
27,Pro,"Speaker Sumitra Mahajan said since the bill is of urgent public importance, it has to be passed immediately.",Pro,"The Speaker asserts the urgency and importance of passing a bill, aligning with the government's legislative agenda."
28,Pro,"Speaker Sumitra Mahajan said since the bill is of urgent public importance, it has to be passed immediately.",Pro,"The Speaker asserts the urgency and importance of passing a bill, aligning with the government's legislative agenda."
29,Pro,"Speaker Sumitra Mahajan said since the bill is of urgent public importance, it has to be passed immediately.",Pro,"The Speaker asserts the urgency and importance of passing a bill, aligning with the government's legislative agenda."
30,Neutral,"As soon as the House met, Speaker Sumitra Mahajan said that the Constitution Day would be observed tomorrow and referred to the 8th anniversary of Mumbai terror attacks.",Neutral,A report of a procedural announcement and a commemorative statement made by the Speaker of the House.
31,Anti,Mahajan said I have given you one chance.,Neutral,A procedural statement from the Speaker managing decorum and debate in the House.
32,Anti,Mahajan said Chair is ready to help you.,Neutral,"A statement from the Speaker offering assistance, in line with the neutral role of the Chair."
33,Anti,Mahajan said she had given one chance to the Opposition and was ready to allow them to proceed with the debate.,Neutral,Reports the Speaker's position on a parliamentary debate without praise or criticism.
34,Neutral,"Jaitley said it was the BSP that was in fight with the BJP on several seats in the first phase but the situation, he added, might change in next phases.",Neutral,"A factual political assessment by a politician about an electoral contest, not inherently pro or anti-government."
35,Pro,"Union Finance minister Arun Jaitley in his budget speech on Wednesday said that nearly 1,50,000 gram panchayats will get high-speed internet under the BharatNet project by the end of the March 2018.",Pro,"A minister announces significant government projects and achievements, highlighting positive developments."
36,Pro,"Jaitley also said that nearly 1,55,000 kms of optical fibre has been laid under BharatNet till date and it currently covers 75,700 gram panchayats.",Pro,States positive progress and achievements of a government initiative (BharatNet).
37,Pro,Jaitley also said that the government also plans to make use of the internet to teach people in these panchayats and help them with medical issues via telemedicine under the DigiGaon programme.,Pro,Positively frames a future government initiative (DigiGaon) as beneficial for citizens.
38,Pro,"Kuch the pehle ke tareeke, to kuch hai aaj ke rang dhang (Its a new world, new order, new zeal, Jaitley said.",Pro,The quote by a minister implies a positive change and a 'new order' under the current government.
39,Pro,"Those involved in big scams now have to stand in queues to exchange Rs 4,000, Modi had said in his address.",Pro,Presents a government policy (demonetisation) as a successful measure against corruption and scams.
40,Neutral,"We just wanted to convey to him that an outsider as candidate is not acceptable to us, said Baljinder Singh, an AAP worker.",Neutral,"An individual associated with a political party expresses an opinion on candidate selection, not directly about a government's policy or performance."
41,Anti,"Addressing the mediapersons on the spot, Amarinder said: People of Punjab were facing unprecedented financial crisis, but the state government led by Chief Minister Parkash Singh Badal was completely unconcerned about their plight since they had control of various institutions and businesses to transform their own black money into white.",Anti,"Directly accuses the then-state government (Badal) of being unconcerned and corrupt, which is a strong critical stance."
42,Anti,Watch What Else Is Making News:Amarinder said the situation was turning from bad to worse with people suffering for non-availability of cash.,Anti,Criticizes the outcome of a government policy by highlighting public suffering ('bad to worse').
43,Anti,"(File)Hitting out strongly at the Centre over its unplanned and inhuman demonetisation move, Punjab Congress chief Amarinder Singh on Tuesday said that the step would backfire on the Modi government.",Anti,"Uses strong negative language ('unplanned', 'inhuman') to directly attack a central government policy and predict its failure."
44,Anti,"Lashing out at the Prime Minister for taking refuge in histrionics and falsehoods to cover up his failure in managing demonetisation, Amarinder said contrary to Modis claims, poor of the country were suffering the most from the move.",Anti,"Employs strong, accusatory language ('lashing out', 'histrionics', 'falsehoods', 'failure') against the Prime Minister."
45,Anti,"The vision of your kadak chai haunting them in their nightmares are not the rich and mighty, but the poorest of the poor of this country, Amarinder said.",Anti,Uses the Prime Minister's own slogan sarcastically to criticize the impact of his policies on the poor.
46,Anti,"The brazen disregard with which you (Modi government) are standing adamant in your refusal to even consider partially rolling back the dictatorial diktat, in the face of such unprecedented chaos in the country is not only appalling in the extreme, but a crime against common people of India, Amarinder said.",Anti,Uses extremely harsh and critical language like 'dictatorial diktat' and 'crime against common people' to condemn the government.
47,Anti,"This issue of income tax and all has been done by Jaitley, he cant get over his defeat, Amarinder told ANI.",Anti,"Makes a personal attack on a minister (Jaitley), attributing his actions to a personal vendetta rather than official duty."
48,Neutral,Finance Secretary Ashok Lavasa had earlier said withdrawal limits will be reviewed after December 30.,Neutral,Reports a factual statement from a government official about a procedural review.
49,Neutral,"We will review the limits after December 30, finance secretary Ashok Lavasa told TOI.",Neutral,"A direct, factual quote from a government official stating a planned action."
50,Neutral,Finance Secretary Ashok Lavasa had said the withdrawal cap would be will be reviewed after December 30.,Neutral,"A neutral, factual report of a government official's statement regarding a policy review."
51,Pro,"The passage of this bill will help in increasing the size of the country's economy, Meghwal said, adding that investor protection and corporate governance were the two main objectives of the measure.",Pro,"Presents a government bill in a positive light, highlighting its benefits for the economy and investors."
52,Pro,"It would also help in improving the country's position in the 'ease of doing business', Meghwal told PTI after the House passed the bill.",Pro,Claims a positive outcome ('improving ease of doing business') for a government action.
53,Pro,"Rejecting apprehensions that the trust in the capital market has been broken, Meghwal said had that been the case, how was the Sensex crossing the 32,000 mark.",Pro,Defends the government's economic management by citing a positive indicator (Sensex) to counter criticism.
54,Pro,"The ministry has already issued notices to many firms for not complying with CSR provisions under the Companies Act and in some instances they have not responded, Meghwal said.",Neutral,"Reports a government action (issuing notices) factually, without overt praise or criticism."
55,Pro,"Assuring relief to the MSME sector, Meghwal said the next budget will look into their concerns.",Pro,A minister gives an assurance of future positive action and relief for the MSME sector.
56,Pro,"Spelling out advantages of demonetisation, Meghwal said that it will help lower interest rate.",Pro,The statement explicitly outlines a perceived advantage of a major government policy (demonetisation).
57,Pro,"With regard to the Goods and Services Tax (GST), Meghwal said the government intends to implement it from April 1.",Pro,A minister announces the government's intention to implement a major economic reform.
58,Pro,"In a separate reply, when asked how much old Rs 500 and Rs 1,000 notes (SBNs) were deposited/exchanged upon being de-legalised, Meghwal said specified bank notes (SBNs) worth Rs  12.44 lakh crore were returned to currency chests of RBI by December 10, 2016.",Neutral,"Provides a factual data point in response to a query, without adding a layer of praise or blame."
59,Anti,"Gareebon se kheencho aur ameeron ko seencho (take from the poor and give to the rich) is now the buzzword in the present government, Gandhi said, addressing the crowd at the SSJ ground.",Anti,"Uses a powerful, negative slogan to accuse the government of being pro-rich and anti-poor."
60,Anti,"Quoting poet Bashir Badr, Gandhi said the two lines  Log toot jaate hain ek ghar banane mein, tum taras nahin khaate bastiyaan jalane mein  summed up Modis decision.",Anti,Uses a poetic and emotional quote to portray a government decision as cruel and destructive.
61,Anti,"Explaining what he called the real reason behind the note ban, Gandhi said, Only 6% of the black money is in cash and the rest 94% is in real estate, gold and Swiss Bank accounts.",Anti,"Attempts to undermine the rationale of a major government policy by presenting alternative facts, implying the policy is misguided."
62,Pro,"Economic affairs secretary Shaktikanta Das said that one of the main reasons for the long queues outside banks was that people were lining up several times to exchange notes, frustrating the efforts of others who haven't been able to change their notes even once since the shock announcement.",Pro,Defends the government's handling of demonetisation by attributing a negative consequence (long queues) to public behaviour rather than policy flaws.
63,Pro,Das said it had been decided to constitute technology teams to hasten the pace of recalibrating the ATMs for the new high-denomination notes.,Pro,A senior government official announces specific government actions being taken to address a logistical challenge.
64,Pro,"This will improve the functioning of toll plazas, digital payments, Das said.",Pro,A government official is stating that a government action will lead to positive improvements.
65,Pro,"Das said all government offices have been asked to use only digital routes for paying to stakeholders, contractors and employees.",Pro,A senior government official announces a government directive promoting digital transactions.
66,Pro,"In the coming few months, Rs 1,000 notes will be brought in with a new design, economic affairs secretary Shaktikanta Das said.",Pro,"A senior government official announces a future policy decision, indicating forward planning."
67,Anti,"That alone could explain his decision to release the documents at a public rally, where he could not be questioned, said Amarinder.",Anti,"Accuses a political opponent of cowardice and avoiding scrutiny, which is a critical stance."
68,Neutral,"Captain Amarinder said the alleged account numbers which the AAP leader says are held by his family members were the same old numbers which his colleague Ashish Khetan had released in March 2016, and which he had already proved to be a sham.",Anti,Criticizes an opposition party (AAP) by dismissing their allegations as a 'sham' and old news.
69,Anti,"If they (the Akalis) are allowed to continue with their uninhibited control over the states administration till the completion of the polls, they will not only plunge the state into further lawlessness but will misuse the Shiromani Gurdwara Parbandhak Committee (SGPC) to convert their black money into white, said Amarinder.",Anti,Makes strong accusations of future lawlessness and corruption against the ruling state party (Akalis).
70,Neutral,"Hitting out at the current Congress leadership, Jaitley said that if the current representative of the dynasty lacks the ability to lead the party or the country, the party suffers.",Anti,"Directly attacks the leadership of an opposition party (Congress), questioning their ability and criticizing their dynastic structure."
71,Neutral,Jaitley further said parties which adopt dynastic succession as an alternative to merit-based leadership creation suffer from a natural disadvantage.,Anti,"Criticizes the principle of 'dynastic succession,' a common line of attack against the Congress party."
72,Anti,"Union Finance Minister Arun Jaitley (File Photo) Union Finance Minister Arun Jaitley (File Photo)Attacking Congress, Finance Minister Arun Jaitley on Thursday said the previous UPA government had indulged in discretionary allocation of national resources causing damage to the economy and the Modi dispensation did away with the practice as it learnt from their mistakes.",Anti,"The statement attacks the previous UPA government for 'discretionary allocation' and economic damage, contrasting it with the Modi government's actions."
